_id,orderId,user,products,coupon,totalAmount,discount,offerDiscount,totalDiscount,deliveryCharge,deliveryOptionName,finalAmount,currency,status,shippingAddress,recipientName,phoneNo,notes,paymentMethod,paymentStatus,paymentProvider,stripeSessionId,sslSessionKey,transactionId,fxRate,fxBaseCurrency,createdAt,updatedAt
5cd7ff15d730e9389bfe7ee6,DED9SC3Z2H,664d034dd93c5fc75bb009de,"[{""product"":""ff65f04e43e1350dcf6c3a66"",""quantity"":1,""unitPrice"":1999,""variant"":{""sku"":""ATTORCOT-L-HEATHE-KC6HUV"",""attributes"":{""Size"":""L"",""Color"":""Heather Gray""}}}]",SAVE15,1999,300,0,300,90,Inside Dhaka,1789,bdt,Completed,"House 12, Road 5, Dhanmondi, Dhaka 1205",Ayesha Rahman,01711001101,,Online,Paid,sslcommerz,,sslc_cl6f2a9c1e4b7d8a,SSLCZ_CL1F3K9Q2M4X7,,,2026-08-02T11:20:00.000Z,2026-08-15T16:45:41.218Z
12be627273b4388848b46c85,DE352MXDQ4,94c8ec5ed6a9896d106598ca,"[{""product"":""a249e6086881a1a4c714b54a"",""quantity"":1,""unitPrice"":2699,""variant"":{""sku"":""DENIMCOC-32-DARKIN-N7K22J"",""attributes"":{""Waist"":""32"",""Color"":""Dark Indigo""}}},{""product"":""16c48734f368f1e73391125e"",""quantity"":1,""unitPrice"":999}]",EID20,3698,740,300,1040,150,Outside Dhaka,2808,bdt,Shipped,"Flat 3B, Lake View Apartments, Gulshan 2, Dhaka 1212",Tanvir Hasan,01822002202,,Online,Paid,bkash,,,BKA_CL8H4M2N7Q9W3,,,2026-08-03T15:40:00.000Z,2026-08-15T16:45:41.218Z
9c7406fddb73d60a6c72c09c,DE5M7TRDY2,f9f01cbc530cc4f0871971ec,"[{""product"":""6b5891112bfc14f8330fe10a"",""quantity"":1,""unitPrice"":2199,""variant"":{""sku"":""LOOMLINE-M-WHITE-6GZC36"",""attributes"":{""Size"":""M"",""Color"":""White""}}}]",,2199,0,0,0,90,Inside Dhaka,2289,bdt,Processing,"House 45, Road 11, Banani, Dhaka 1213",Nusrat Jahan,01633003303,,Online,Paid,sslcommerz,,sslc_cl9c3b1d5f7a2e8c,SSLCZ_CL7B2D4F6H8J0K,,,2026-08-04T09:10:00.000Z,2026-08-15T16:45:41.218Z
d384b9a829bb1606bb905a18,DED3YW3XHR,9e8459c6be5709647e5ec2c0,"[{""product"":""c1ae75de7f24aa9dd86a388f"",""quantity"":1,""unitPrice"":6999}]",FLAT500,6999,500,0,500,0,Store Pickup,6499,bdt,Completed,"House 7, Road 3, Uttara Sector 7, Dhaka 1230",Mashrafe Karim,01944004404,Store pickup.,COD,Paid,,,,,,,2026-08-05T13:00:00.000Z,2026-08-15T16:45:41.218Z
c5fbc6821e859dcb013750f7,DEAD524VFH,f631dc81ee3c6f3561843f22,"[{""product"":""e290f8596d3a2569a38de124"",""quantity"":2,""unitPrice"":2299,""variant"":{""sku"":""URBANTHR-M-BLACK-7LXS68"",""attributes"":{""Size"":""M"",""Color"":""Black""}}}]",,4598,0,0,0,90,Inside Dhaka,4688,bdt,Pending,"House 23, Road 8, Mohammadpur, Dhaka 1207",Farhana Mim,01555005505,,COD,Pending,,,,,,,2026-08-06T17:25:00.000Z,2026-08-15T16:45:41.218Z
9a9467afecfa32abf8055e0d,DEG9TH2RG8,e967018b09864be41f682f14,"[{""product"":""c4c6de0adf0d30f236af8f39"",""quantity"":1,""unitPrice"":3499,""variant"":{""sku"":""ARISTOPL-34-CHARCO-6BWGHM"",""attributes"":{""Waist"":""34"",""Color"":""Charcoal""}}},{""product"":""3511a06b2f710398f290006f"",""quantity"":1,""unitPrice"":1299,""variant"":{""sku"":""URBANTHR-L-BLACK-DHPLEK"",""attributes"":{""Size"":""L"",""Color"":""Black""}}}]",TECH5,4798,240,0,240,150,Outside Dhaka,4708,bdt,Cancelled,"House 89, Road 2, Khilgaon, Dhaka 1219",Shakil Ahmed,01366006606,Customer cancelled.,Online,Failed,sslcommerz,,sslc_cl1a2b3c4d5e6f7a,SSLCZ_CLC4E6G8I0K2M4,,,2026-08-07T10:45:00.000Z,2026-08-15T16:45:41.218Z
9cdf7ee76f62a9e537048d3d,DEPRQZHWDX,55f9b06441cffdfeb028548e,"[{""product"":""cc95a4173b84600214f63b2f"",""quantity"":1,""unitPrice"":3499,""variant"":{""sku"":""ATTORMAX-M-BURGUN-9WRLDY"",""attributes"":{""Size"":""M"",""Color"":""Burgundy""}}},{""product"":""01dbdaa9913ef00f344ba8e3"",""quantity"":1,""unitPrice"":1699,""variant"":{""sku"":""ARISTOFO-L-WHITE-VNDXS3"",""attributes"":{""Size"":""L"",""Color"":""White""}}}]",WELCOME10,5198,520,200,720,90,Inside Dhaka,4568,bdt,Processing,"House 15, Road 9, Mirpur DOHS, Dhaka 1216",Tasnim Chowdhury,01777007707,,Online,Paid,stripe,cs_test_cl_b8v7k3m9x2n4q6w8,,txn_stripe_cl_9f8e7d6c,0.0091,bdt,2026-08-08T12:30:00.000Z,2026-08-15T16:45:41.218Z
6e1bbf8732824182b717325b,DEFBMSYURM,4ed63b9921de4d81d9862567,"[{""product"":""a31f552749f737e674610329"",""quantity"":1,""unitPrice"":2699,""variant"":{""sku"":""URBANTHR-32-BLACK-27ASGG"",""attributes"":{""Waist"":""32"",""Color"":""Black""}}}]",,2699,0,0,0,90,Inside Dhaka,2789,bdt,Completed,"House 34, Road 12, Rampura, Dhaka 1219",Imran Hossain,01888008808,,COD,Paid,,,,,,,2026-08-09T14:15:00.000Z,2026-08-15T16:45:41.218Z
14aa80260627ba9ae468bf87,DE5X9MR9HK,664d034dd93c5fc75bb009de,"[{""product"":""1b58bfe2589b6ee1ebf213c7"",""quantity"":1,""unitPrice"":2799,""variant"":{""sku"":""ATTORTAI-32-OLIVE-NBGKDY"",""attributes"":{""Waist"":""32"",""Color"":""Olive""}}},{""product"":""2ffb7366da2d471d7bb28db8"",""quantity"":1,""unitPrice"":2499}]",,5298,0,0,0,150,Outside Dhaka,5448,bdt,Shipped,"House 12, Road 5, Dhanmondi, Dhaka 1205",Ayesha Rahman,01711001101,,Online,Paid,bkash,,,BKA_CL2M4P6R8T0V2,,,2026-08-10T16:50:00.000Z,2026-08-15T16:45:41.218Z
37eac9caacef4585d7364a9e,DE979QRX63,,"[{""product"":""2052b5e1a2aaad358a67e5d5"",""quantity"":1,""unitPrice"":12999,""variant"":{""sku"":""ARISTOTW-40R-CHARCO-PNJJQG"",""attributes"":{""Size"":""40R"",""Color"":""Charcoal""}}}]",,12999,0,0,0,90,Inside Dhaka,13089,bdt,Pending,"House 2, Road 4, Khulna Sadar, Khulna 9100",Rahim Uddin,01712001200,Guest order.,COD,Pending,,,,,,,2026-08-11T08:05:00.000Z,2026-08-15T16:45:41.218Z
