_id,orderId,user,products,coupon,totalAmount,discount,offerDiscount,totalDiscount,deliveryCharge,deliveryOptionName,finalAmount,currency,status,shippingAddress,recipientName,phoneNo,notes,paymentMethod,paymentStatus,paymentProvider,stripeSessionId,sslSessionKey,transactionId,fxRate,fxBaseCurrency,createdAt,updatedAt
693c180e810bbcfd04865efe,DE9T86V3N5,b3fec9bedaa6b9c647a55c43,"[{""product"":""8aaf81a9d24d159235683696"",""quantity"":1,""unitPrice"":1599,""variant"":{""sku"":""LUMIREHY-30ML-H6KEGU"",""attributes"":{""Volume"":""30ml""}}}]",SAVE15,1599,240,0,240,90,Inside Dhaka,1449,bdt,Completed,"House 12, Road 5, Dhanmondi, Dhaka 1205",Ayesha Rahman,01711001101,,Online,Paid,sslcommerz,,sslc_cs6f2a9c1e4b7d8a,SSLCZ_CS1F3K9Q2M4X7,,,2026-08-02T11:20:00.000Z,2026-08-15T16:45:41.279Z
22a3b3c3baa8eb515ed9d568,DERJ8UTY28,a040be4a1dceebef8680e92a,"[{""product"":""e1642a397464db79190ba468"",""quantity"":1,""unitPrice"":799,""variant"":{""sku"":""MAYBELLI-BLACKE-CHMU9K"",""attributes"":{""Shade"":""Blackest Black""}}},{""product"":""fcb14d784df56d3bbc7e8003"",""quantity"":1,""unitPrice"":1299}]",EID20,2098,420,0,420,150,Outside Dhaka,1828,bdt,Shipped,"Flat 3B, Lake View Apartments, Gulshan 2, Dhaka 1212",Tanvir Hasan,01822002202,,Online,Paid,bkash,,,BKA_CS8H4M2N7Q9W3,,,2026-08-03T15:40:00.000Z,2026-08-15T16:45:41.279Z
b16b2acdbb6d9f9c6e1ab09e,DEE94LCSR6,96a60822c510917dd87d04f1,"[{""product"":""8116d859bb925e904a73684b"",""quantity"":1,""unitPrice"":1799,""variant"":{""sku"":""LUMIREPU-LIGHT-9SG44T"",""attributes"":{""Shade"":""Light""}}}]",,1799,0,200,200,90,Inside Dhaka,1689,bdt,Processing,"House 45, Road 11, Banani, Dhaka 1213",Nusrat Jahan,01633003303,,Online,Paid,sslcommerz,,sslc_cs9c3b1d5f7a2e8c,SSLCZ_CS7B2D4F6H8J0K,,,2026-08-04T09:10:00.000Z,2026-08-15T16:45:41.279Z
8cdf229e060293ca9ddc7190,DE3S93ETVN,e39c8525dac841e76aa0df95,"[{""product"":""8c6f8b82b832708dc408992a"",""quantity"":1,""unitPrice"":1899}]",FLAT500,1899,500,0,500,0,Store Pickup,1399,bdt,Completed,"House 7, Road 3, Uttara Sector 7, Dhaka 1230",Mashrafe Karim,01944004404,Store pickup.,COD,Paid,,,,,,,2026-08-05T13:00:00.000Z,2026-08-15T16:45:41.279Z
76569f224a182111f72593e6,DE6KU8LRH9,a15a359fa17b70ed597d5d40,"[{""product"":""5ad8db9e090237d277d29237"",""quantity"":2,""unitPrice"":1899,""variant"":{""sku"":""MAYBELLI-THENUD-TFNBLS"",""attributes"":{""Palette"":""The Nudes""}}}]",,3798,0,0,0,90,Inside Dhaka,3888,bdt,Pending,"House 23, Road 8, Mohammadpur, Dhaka 1207",Farhana Mim,01555005505,,COD,Pending,,,,,,,2026-08-06T17:25:00.000Z,2026-08-15T16:45:41.279Z
15ab1658f784086b31b5a82c,DE3YFF5EQP,9419a3f9042f0d75d2ce6261,"[{""product"":""c03f55c73024fec8ee42e1f9"",""quantity"":1,""unitPrice"":1399,""variant"":{""sku"":""THEFACES-50ML-EZF5WS"",""attributes"":{""Volume"":""50ml""}}},{""product"":""308c1410a637612ac4a12ac1"",""quantity"":1,""unitPrice"":2199}]",TECH5,3598,180,0,180,150,Outside Dhaka,3568,bdt,Cancelled,"House 89, Road 2, Khilgaon, Dhaka 1219",Shakil Ahmed,01366006606,Customer cancelled.,Online,Failed,sslcommerz,,sslc_cs1a2b3c4d5e6f7a,SSLCZ_CSC4E6G8I0K2M4,,,2026-08-07T10:45:00.000Z,2026-08-15T16:45:41.279Z
4dd19663a4aece4a2839f9aa,DEK74Q5UV5,eeaaf24a45649327ffddf562,"[{""product"":""22dbf50d39538566c1e95250"",""quantity"":1,""unitPrice"":450,""variant"":{""sku"":""LUMIRERO-60ML-FBW4ZU"",""attributes"":{""Volume"":""60ml""}}},{""product"":""436a2ddfed92281b9ce3f42f"",""quantity"":1,""unitPrice"":1299,""variant"":{""sku"":""LUMIREMA-NUDE-LHQ5K5"",""attributes"":{""Shade"":""Nude""}}}]",WELCOME10,1749,175,100,275,90,Inside Dhaka,1564,bdt,Processing,"House 15, Road 9, Mirpur DOHS, Dhaka 1216",Tasnim Chowdhury,01777007707,,Online,Paid,stripe,cs_test_cs_b8v7k3m9x2n4q6w8,,txn_stripe_cs_9f8e7d6c,0.0091,bdt,2026-08-08T12:30:00.000Z,2026-08-15T16:45:41.279Z
913f5d42dd718058e5da89af,DEC2EQWACU,96855546faa41dc946559888,"[{""product"":""1118080783a4e3ca3c7e3cd1"",""quantity"":1,""unitPrice"":1199,""variant"":{""sku"":""THEFACES-180ML-B59GHS"",""attributes"":{""Volume"":""180ml""}}}]",,1199,0,0,0,90,Inside Dhaka,1289,bdt,Completed,"House 34, Road 12, Rampura, Dhaka 1219",Imran Hossain,01888008808,,COD,Paid,,,,,,,2026-08-09T14:15:00.000Z,2026-08-15T16:45:41.279Z
17bf406c1a2360ac1af2a527,DE4KB2R7C4,b3fec9bedaa6b9c647a55c43,"[{""product"":""ed98011dc283562ac075b236"",""quantity"":1,""unitPrice"":1499,""variant"":{""sku"":""THEFACES-NATURA-V63BRY"",""attributes"":{""Shade"":""Natural Beige""}}},{""product"":""604fed487403ad4e9b24f6d8"",""quantity"":1,""unitPrice"":1099}]",,2598,0,0,0,150,Outside Dhaka,2748,bdt,Shipped,"House 12, Road 5, Dhanmondi, Dhaka 1205",Ayesha Rahman,01711001101,,Online,Paid,bkash,,,BKA_CS2M4P6R8T0V2,,,2026-08-10T16:50:00.000Z,2026-08-15T16:45:41.279Z
8df8fd57b0823454a2eaf123,DEPMXCWG59,,"[{""product"":""2ca48362a6d8cc66e60cb6bb"",""quantity"":1,""unitPrice"":420,""variant"":{""sku"":""LORALPAR-200ML-E4KX8E"",""attributes"":{""Volume"":""200ml""}}}]",,420,0,0,0,90,Inside Dhaka,510,bdt,Pending,"House 2, Road 4, Khulna Sadar, Khulna 9100",Rahim Uddin,01712001200,Guest order.,COD,Pending,,,,,,,2026-08-11T08:05:00.000Z,2026-08-15T16:45:41.279Z
