_id,orderId,user,products,coupon,totalAmount,discount,offerDiscount,totalDiscount,deliveryCharge,deliveryOptionName,finalAmount,currency,status,shippingAddress,recipientName,phoneNo,notes,paymentMethod,paymentStatus,paymentProvider,stripeSessionId,sslSessionKey,transactionId,fxRate,fxBaseCurrency,createdAt,updatedAt
73d34ac5dbcc8e783d8c1b4f,DE2GWMWXUQ,7135bd03c80d5575642140a5,"[{""product"":""78e22b9c17f8cb2934769a1f"",""quantity"":1,""unitPrice"":142499,""variant"":{""sku"":""APPLEIPH-NATURA-256GB-37KAFF"",""attributes"":{""Color"":""Natural Titanium"",""Storage"":""256GB""}}}]",SAVE15,142499,2500,7500,10000,90,Inside Dhaka,132589,bdt,Completed,"House 12, Road 5, Dhanmondi, Dhaka 1205",Ayesha Rahman,01711001101,Please deliver in the evening.,Online,Paid,sslcommerz,,sslc_6f2a9c1e4b7d8a3f0e5c9b2a,SSLCZ_A8F3K9Q2M4X7,,,2026-08-02T11:20:00.000Z,2026-08-15T16:45:41.170Z
56f5add33a29ecbf64d0f458,DEVAZEXVBA,4efed9f5abd7a4ab7aa1a264,"[{""product"":""47115fccc2aea5f4f603a00b"",""quantity"":1,""unitPrice"":189999,""variant"":{""sku"":""SAMSUNGG-TITANI-256GB-GVTQF6"",""attributes"":{""Color"":""Titanium Gray"",""Storage"":""256GB""}}},{""product"":""7a175341c438ab6a7e0dbf91"",""quantity"":1,""unitPrice"":18999}]",EID20,208998,2000,0,2000,150,Outside Dhaka,207148,bdt,Shipped,"Flat 3B, Lake View Apartments, Gulshan 2, Dhaka 1212",Tanvir Hasan,01822002202,,Online,Paid,bkash,,,BKA8H4M2N7Q9W3,,,2026-08-03T15:40:00.000Z,2026-08-15T16:45:41.171Z
0069e2b5b1dc85ecc36493e2,DENLUM7LFX,1529cc923661c68d080d34fe,"[{""product"":""e26945dc940cceab4ce4bd0e"",""quantity"":1,""unitPrice"":139999,""variant"":{""sku"":""VIVOX100-STARTR-256GB-BR8R7U"",""attributes"":{""Color"":""Startrail Blue"",""Storage"":""256GB""}}}]",,139999,0,0,0,90,Inside Dhaka,140089,bdt,Processing,"House 45, Road 11, Banani, Dhaka 1213",Nusrat Jahan,01633003303,Call before delivery.,Online,Paid,sslcommerz,,sslc_9c3b1d5f7a2e8c4b0d6f1a3e,SSLCZ_7B2D4F6H8J0K,,,2026-08-04T09:10:00.000Z,2026-08-15T16:45:41.171Z
8f8629199cd3eb347fe7d3d9,DEZLJEX6QE,bafc2d80accb2a0ed5960838,"[{""product"":""a7b53e22a23ab5ee50c372d4"",""quantity"":1,""unitPrice"":69999,""variant"":{""sku"":""APPLEIPH-MIDNIG-128GB-BGJQ9Q"",""attributes"":{""Color"":""Midnight"",""Storage"":""128GB""}}}]",FLAT500,69999,500,5000,5500,0,Store Pickup,64499,bdt,Completed,"House 7, Road 3, Uttara Sector 7, Dhaka 1230",Mashrafe Karim,01944004404,Store pickup at Uttara branch.,COD,Paid,,,,,,,2026-08-05T13:00:00.000Z,2026-08-15T16:45:41.171Z
776a16d9a5a32e02b4adc52b,DEESK5DBVL,acdeb55be437061fdc9bb97a,"[{""product"":""2637fcb38bdd3b2488cbb1b1"",""quantity"":2,""unitPrice"":129999,""variant"":{""sku"":""ONEPLUS1-FLOWYE-256GB-WPVCSM"",""attributes"":{""Color"":""Flowy Emerald"",""Storage"":""256GB""}}}]",,259998,0,0,0,90,Inside Dhaka,260088,bdt,Pending,"House 23, Road 8, Mohammadpur, Dhaka 1207",Farhana Mim,01555005505,,COD,Pending,,,,,,,2026-08-06T17:25:00.000Z,2026-08-15T16:45:41.171Z
29b3ad4e04c6c8ea2355540e,DERPKP679W,197f592dd325693b20ef2617,"[{""product"":""53d3431af56932ff5b4291f9"",""quantity"":1,""unitPrice"":99999,""variant"":{""sku"":""XIAOMI14-BLACK-256GB-BSCXZK"",""attributes"":{""Color"":""Black"",""Storage"":""256GB""}}},{""product"":""7a175341c438ab6a7e0dbf91"",""quantity"":1,""unitPrice"":18999}]",TECH5,118998,300,0,300,150,Outside Dhaka,118848,bdt,Cancelled,"House 89, Road 2, Khilgaon, Dhaka 1219",Shakil Ahmed,01366006606,Customer cancelled before dispatch.,Online,Failed,sslcommerz,,sslc_1a2b3c4d5e6f7a8b9c0d1e2f,SSLCZ_C4E6G8I0K2M4,,,2026-08-07T10:45:00.000Z,2026-08-15T16:45:41.171Z
91103df4fb129dec0bad6678,DEBAKSQBUH,f649169356dd807378f293bf,"[{""product"":""b55b669cad30d4d1a4d7798d"",""quantity"":1,""unitPrice"":79999,""variant"":{""sku"":""APPLEIPA-BLUE-128GB-WIFI-ENV3U4"",""attributes"":{""Color"":""Blue"",""Storage"":""128GB"",""Connectivity"":""Wi-Fi""}}},{""product"":""bca19ccdd73f0f21da6e5384"",""quantity"":1,""unitPrice"":27999,""variant"":{""sku"":""APPLEAIR-WHITE-USBC-D2RUEA"",""attributes"":{""Color"":""White"",""Charging Case"":""USB-C""}}}]",WELCOME10,107998,1000,0,1000,90,Inside Dhaka,107088,bdt,Processing,"House 15, Road 9, Mirpur DOHS, Dhaka 1216",Tasnim Chowdhury,01777007707,,Online,Paid,stripe,cs_test_b8v7k3m9x2n4q6w8e0r1t5y7,,txn_stripe_9f8e7d6c5b4a,0.0091,bdt,2026-08-08T12:30:00.000Z,2026-08-15T16:45:41.171Z
54370b1fec3490b3a81f3746,DEJCAPGHFB,a1c347f6bb3d1b5e990ae906,"[{""product"":""781f5c3da4c4787cbaeb911a"",""quantity"":1,""unitPrice"":159999,""variant"":{""sku"":""APPLEMAC-MIDNIG-256GB-8GB-8YJBY7"",""attributes"":{""Color"":""Midnight"",""Storage"":""256GB"",""Memory"":""8GB""}}}]",,159999,0,0,0,90,Inside Dhaka,160089,bdt,Completed,"House 34, Road 12, Rampura, Dhaka 1219",Imran Hossain,01888008808,Leave with the security guard if not home.,COD,Paid,,,,,,,2026-08-09T14:15:00.000Z,2026-08-15T16:45:41.171Z
9240fb889448d645f26ea492,DEY44JBZDH,7135bd03c80d5575642140a5,"[{""product"":""3ccfb9e621b2c89183d08b36"",""quantity"":1,""unitPrice"":119999,""variant"":{""sku"":""SAMSUNGG-ONYXBL-128GB-3HBWTG"",""attributes"":{""Color"":""Onyx Black"",""Storage"":""128GB""}}},{""product"":""8e26e8973b015b102ba88a7d"",""quantity"":1,""unitPrice"":27999}]",,147998,0,0,0,150,Outside Dhaka,148148,bdt,Shipped,"House 12, Road 5, Dhanmondi, Dhaka 1205",Ayesha Rahman,01711001101,,Online,Paid,bkash,,,BKA2M4P6R8T0V2,,,2026-08-10T16:50:00.000Z,2026-08-15T16:45:41.171Z
b3930ea5f0af886e9cc3360a,DE5UYE8X45,,"[{""product"":""5f0ff835f6a6a6456c1ef950"",""quantity"":1,""unitPrice"":23999,""variant"":{""sku"":""VIVOY365-MYSTIC-128GB-7FP834"",""attributes"":{""Color"":""Mystic Black"",""Storage"":""128GB""}}}]",,23999,0,0,0,90,Inside Dhaka,24089,bdt,Pending,"House 2, Road 4, Khulna Sadar, Khulna 9100",Rahim Uddin,01712001200,Guest order - please call to confirm.,COD,Pending,,,,,,,2026-08-11T08:05:00.000Z,2026-08-15T16:45:41.171Z
