_id,orderId,user,products,coupon,totalAmount,discount,offerDiscount,totalDiscount,deliveryCharge,deliveryOptionName,finalAmount,currency,status,shippingAddress,recipientName,phoneNo,notes,paymentMethod,paymentStatus,paymentProvider,stripeSessionId,sslSessionKey,transactionId,fxRate,fxBaseCurrency,createdAt,updatedAt
ebdc1f69db7868d429e1313d,DEU2M994Y4,3ebeea31031012501e70df13,"[{""product"":""62ca8b73a2ce9209e31bf078"",""quantity"":1,""unitPrice"":13499,""variant"":{""sku"":""RAYBANWA-BLACK-H3XZRK"",""attributes"":{""Frame Color"":""Black""}}}]",SAVE15,13499,2025,1500,3525,90,Inside Dhaka,10064,bdt,Completed,"House 12, Road 5, Dhanmondi, Dhaka 1205",Ayesha Rahman,01711001101,,Online,Paid,sslcommerz,,sslc_ew6f2a9c1e4b7d8a,SSLCZ_EW1F3K9Q2M4X7,,,2026-08-02T11:20:00.000Z,2026-08-15T16:45:41.238Z
77e36f88c7900d7df9c73c02,DEGNCN88VY,7f5da75b9d1f2396cffec5c5,"[{""product"":""ac95f9212cb2aef622e6f8f8"",""quantity"":1,""unitPrice"":9999,""variant"":{""sku"":""OAKLEYFR-MATTEB-FYZSLB"",""attributes"":{""Frame Color"":""Matte Black""}}},{""product"":""a9aced56c1391bff32a9f80c"",""quantity"":1,""unitPrice"":15999}]",EID20,25998,2000,0,2000,150,Outside Dhaka,24148,bdt,Shipped,"Flat 3B, Lake View Apartments, Gulshan 2, Dhaka 1212",Tanvir Hasan,01822002202,,Online,Paid,bkash,,,BKA_EW8H4M2N7Q9W3,,,2026-08-03T15:40:00.000Z,2026-08-15T16:45:41.238Z
db9463bc153398641559509f,DERDGFMR2C,8f3fdb8f2798bf2cc97b2258,"[{""product"":""b482da183e1732e48cdcb3e3"",""quantity"":1,""unitPrice"":2799,""variant"":{""sku"":""ZENNICAT-BLACK-NJEVYC"",""attributes"":{""Frame Color"":""Black""}}}]",,2799,0,0,0,90,Inside Dhaka,2889,bdt,Processing,"House 45, Road 11, Banani, Dhaka 1213",Nusrat Jahan,01633003303,,Online,Paid,sslcommerz,,sslc_ew9c3b1d5f7a2e8c,SSLCZ_EW7B2D4F6H8J0K,,,2026-08-04T09:10:00.000Z,2026-08-15T16:45:41.238Z
cc6709a52ceb0a977347420c,DEGN8TP5ZQ,0b7cefd53872be11e70e60aa,"[{""product"":""a11db6cd457dd671f8adcd82"",""quantity"":1,""unitPrice"":2499}]",FLAT500,2499,500,0,500,0,Store Pickup,1999,bdt,Completed,"House 7, Road 3, Uttara Sector 7, Dhaka 1230",Mashrafe Karim,01944004404,Store pickup.,COD,Paid,,,,,,,2026-08-05T13:00:00.000Z,2026-08-15T16:45:41.238Z
8dce59f98dcb5a14b9cedfaa,DEJCM4ST3F,3de5f866fbc345f27ce9a9bc,"[{""product"":""37b84bd3b2e5184aa81e87ad"",""quantity"":2,""unitPrice"":16999,""variant"":{""sku"":""OAKLEYFL-BLACK-B9RWRK"",""attributes"":{""Frame Color"":""Black""}}}]",,33998,0,0,0,90,Inside Dhaka,34088,bdt,Pending,"House 23, Road 8, Mohammadpur, Dhaka 1207",Farhana Mim,01555005505,,COD,Pending,,,,,,,2026-08-06T17:25:00.000Z,2026-08-15T16:45:41.238Z
5a748bcd229ba9788c8f56ba,DEN9T8PZLM,fec7374fc3c70e0500133aa9,"[{""product"":""485dd1f9fd7c49bf47c046ea"",""quantity"":1,""unitPrice"":4599,""variant"":{""sku"":""GOGGLESC-GOLD-ZK2FXD"",""attributes"":{""Frame Color"":""Gold""}}},{""product"":""3f3f6551649c0c0af26fe306"",""quantity"":1,""unitPrice"":1999}]",TECH5,6598,300,0,300,150,Outside Dhaka,6448,bdt,Cancelled,"House 89, Road 2, Khilgaon, Dhaka 1219",Shakil Ahmed,01366006606,Customer cancelled.,Online,Failed,sslcommerz,,sslc_ew1a2b3c4d5e6f7a,SSLCZ_EWC4E6G8I0K2M4,,,2026-08-07T10:45:00.000Z,2026-08-15T16:45:41.238Z
5b6b4592b2aaa90d6e1bb675,DECD7NCCUL,21cfbdf7c9911037d795bac4,"[{""product"":""7b0eefc0fa8a024c34570da7"",""quantity"":1,""unitPrice"":2699,""variant"":{""sku"":""ZENNIROU-GOLD-J2Q2LZ"",""attributes"":{""Frame Color"":""Gold""}}},{""product"":""4a2d7c068abfda67d00cd65c"",""quantity"":1,""unitPrice"":3899,""variant"":{""sku"":""GOGGLESC-CLEAR-ASXXJX"",""attributes"":{""Frame Color"":""Clear""}}}]",WELCOME10,6598,660,0,660,90,Inside Dhaka,6028,bdt,Processing,"House 15, Road 9, Mirpur DOHS, Dhaka 1216",Tasnim Chowdhury,01777007707,,Online,Paid,stripe,cs_test_ew_b8v7k3m9x2n4q6w8,,txn_stripe_ew_9f8e7d6c,0.0091,bdt,2026-08-08T12:30:00.000Z,2026-08-15T16:45:41.238Z
d5ee2ddebd7e89f891a8f275,DELRV3Y7Q3,7d7a3158a0ecebf6721eeaa2,"[{""product"":""5d76cf22bb419b4430906783"",""quantity"":1,""unitPrice"":2599,""variant"":{""sku"":""ZENNIREC-SILVER-BE57AH"",""attributes"":{""Frame Color"":""Silver""}}}]",,2599,0,0,0,90,Inside Dhaka,2689,bdt,Completed,"House 34, Road 12, Rampura, Dhaka 1219",Imran Hossain,01888008808,,COD,Paid,,,,,,,2026-08-09T14:15:00.000Z,2026-08-15T16:45:41.238Z
68f6f12d993937cac5b3a23f,DE3RP8ABVN,3ebeea31031012501e70df13,"[{""product"":""1f61b42cbd6d739c76961269"",""quantity"":1,""unitPrice"":13999,""variant"":{""sku"":""RAYBANCL-TORTOI-6EVP6C"",""attributes"":{""Frame Color"":""Tortoise""}}},{""product"":""f5b31fe5c6ae2b6cc8416d98"",""quantity"":1,""unitPrice"":3499}]",,17498,0,0,0,150,Outside Dhaka,17648,bdt,Shipped,"House 12, Road 5, Dhanmondi, Dhaka 1205",Ayesha Rahman,01711001101,,Online,Paid,bkash,,,BKA_EW2M4P6R8T0V2,,,2026-08-10T16:50:00.000Z,2026-08-15T16:45:41.238Z
008097f6852c651469398d22,DE3A5D6JTK,,"[{""product"":""030453a9a01c211795125a78"",""quantity"":1,""unitPrice"":18999,""variant"":{""sku"":""OAKLEYRA-MATTEB-9UKAFQ"",""attributes"":{""Frame Color"":""Matte Black""}}}]",,18999,0,0,0,90,Inside Dhaka,19089,bdt,Pending,"House 2, Road 4, Khulna Sadar, Khulna 9100",Rahim Uddin,01712001200,Guest order.,COD,Pending,,,,,,,2026-08-11T08:05:00.000Z,2026-08-15T16:45:41.238Z
