_id,orderId,user,products,coupon,totalAmount,discount,offerDiscount,totalDiscount,deliveryCharge,deliveryOptionName,finalAmount,currency,status,shippingAddress,recipientName,phoneNo,notes,paymentMethod,paymentStatus,paymentProvider,stripeSessionId,sslSessionKey,transactionId,fxRate,fxBaseCurrency,createdAt,updatedAt
461be33c057dbc74031cc417,DETGJQHBF9,92099a411aea4e22896b0151,"[{""product"":""542ab9468175c49b90980cb4"",""quantity"":1,""unitPrice"":5399,""variant"":{""sku"":""ATTOROUD-12ML-RTBC9W"",""attributes"":{""Size"":""12ml""}}}]",SAVE15,5399,810,600,1410,90,Inside Dhaka,4079,bdt,Completed,"House 12, Road 5, Dhanmondi, Dhaka 1205",Ayesha Rahman,01711001101,,Online,Paid,sslcommerz,,sslc_od6f2a9c1e4b7d8a,SSLCZ_OD1F3K9Q2M4X7,,,2026-08-02T11:20:00.000Z,2026-08-15T16:45:41.187Z
338369c835d47dc63a6f32ba,DE7Z9XM5DE,d9d3036e0fa430669a2931de,"[{""product"":""7dd0c843e35712373f49ef62"",""quantity"":1,""unitPrice"":6999,""variant"":{""sku"":""ALHARAMA-100ML-J7HWNP"",""attributes"":{""Size"":""100ml""}}},{""product"":""7c21dfb732d332cb58a9fd1f"",""quantity"":1,""unitPrice"":4200}]",EID20,11199,2000,0,2000,150,Outside Dhaka,9349,bdt,Shipped,"Flat 3B, Lake View Apartments, Gulshan 2, Dhaka 1212",Tanvir Hasan,01822002202,,Online,Paid,bkash,,,BKA_OD8H4M2N7Q9W3,,,2026-08-03T15:40:00.000Z,2026-08-15T16:45:41.187Z
0678b3047f3cf12351cc88eb,DEAL5P4N6Z,4c95532574f435a9c0aad9ba,"[{""product"":""9e87c403eb74db2cd3ae775c"",""quantity"":1,""unitPrice"":7499,""variant"":{""sku"":""ATTORROS-12ML-ZPHRFH"",""attributes"":{""Size"":""12ml""}}}]",,7499,0,0,0,90,Inside Dhaka,7589,bdt,Processing,"House 45, Road 11, Banani, Dhaka 1213",Nusrat Jahan,01633003303,Gift wrap please.,Online,Paid,sslcommerz,,sslc_od9c3b1d5f7a2e8c,SSLCZ_OD7B2D4F6H8J0K,,,2026-08-04T09:10:00.000Z,2026-08-15T16:45:41.187Z
2d4f2e1e1f847097f72f956c,DECWCJWPVW,528e793e5fb1c3376948fedd,"[{""product"":""c9f069817c0bafd91a2ec16d"",""quantity"":1,""unitPrice"":5500}]",FLAT500,5500,500,0,500,0,Store Pickup,5000,bdt,Completed,"House 7, Road 3, Uttara Sector 7, Dhaka 1230",Mashrafe Karim,01944004404,Store pickup.,COD,Paid,,,,,,,2026-08-05T13:00:00.000Z,2026-08-15T16:45:41.187Z
c58166628e438abf077b6afa,DE5MXTSPLC,f72f04e921044acf261e9454,"[{""product"":""5f6a7017189dab65f91283da"",""quantity"":2,""unitPrice"":2000,""variant"":{""sku"":""SWISSARA-50ML-2GRZP7"",""attributes"":{""Size"":""50ml""}}}]",,4000,0,0,0,90,Inside Dhaka,4090,bdt,Pending,"House 23, Road 8, Mohammadpur, Dhaka 1207",Farhana Mim,01555005505,,COD,Pending,,,,,,,2026-08-06T17:25:00.000Z,2026-08-15T16:45:41.187Z
263602f2fb1d5695d5def0b0,DE2G2HY2GN,4413b73a01f0f96b3a135069,"[{""product"":""dbf562f89d143529b12cff60"",""quantity"":1,""unitPrice"":5000,""variant"":{""sku"":""ALHARAMA-50ML-BA82TX"",""attributes"":{""Size"":""50ml""}}},{""product"":""633772710a4b979ac35e2025"",""quantity"":1,""unitPrice"":6500}]",TECH5,11500,300,0,300,150,Outside Dhaka,11350,bdt,Cancelled,"House 89, Road 2, Khilgaon, Dhaka 1219",Shakil Ahmed,01366006606,Customer cancelled.,Online,Failed,sslcommerz,,sslc_od1a2b3c4d5e6f7a,SSLCZ_ODC4E6G8I0K2M4,,,2026-08-07T10:45:00.000Z,2026-08-15T16:45:41.187Z
fbf14fac1d227a99ddcb470c,DEPA3J9MQY,5c118fe0afc75be1b6eb0563,"[{""product"":""fb4d3c8282ef1cb028595457"",""quantity"":1,""unitPrice"":5600,""variant"":{""sku"":""RASASILA-50ML-NNTYPY"",""attributes"":{""Size"":""50ml""}}},{""product"":""608f40f84471eadef3005413"",""quantity"":1,""unitPrice"":6800,""variant"":{""sku"":""RASASIHA-100ML-FUFMTP"",""attributes"":{""Size"":""100ml""}}}]",WELCOME10,12400,1000,0,1000,90,Inside Dhaka,11490,bdt,Processing,"House 15, Road 9, Mirpur DOHS, Dhaka 1216",Tasnim Chowdhury,01777007707,,Online,Paid,stripe,cs_test_od_b8v7k3m9x2n4q6w8,,txn_stripe_od_9f8e7d6c,0.0091,bdt,2026-08-08T12:30:00.000Z,2026-08-15T16:45:41.187Z
ea10eb11f327918fdf75aafd,DE9EUKDCMP,11e794ecb6a77adf8e77c530,"[{""product"":""6ed180b9b08b5095fe135b52"",""quantity"":1,""unitPrice"":2800,""variant"":{""sku"":""LATTAFAR-100ML-TQLYDA"",""attributes"":{""Size"":""100ml""}}}]",,2800,0,0,0,90,Inside Dhaka,2890,bdt,Completed,"House 34, Road 12, Rampura, Dhaka 1219",Imran Hossain,01888008808,,COD,Paid,,,,,,,2026-08-09T14:15:00.000Z,2026-08-15T16:45:41.187Z
21d3da807542e7990a793a35,DE27XUJ5UC,92099a411aea4e22896b0151,"[{""product"":""90c19863fb358af0c66d0261"",""quantity"":1,""unitPrice"":3500,""variant"":{""sku"":""LATTAFAO-100ML-S799A6"",""attributes"":{""Size"":""100ml""}}},{""product"":""6b3154c2fdd4095a1c0b7f16"",""quantity"":1,""unitPrice"":3800}]",,7300,0,0,0,150,Outside Dhaka,7450,bdt,Shipped,"House 12, Road 5, Dhanmondi, Dhaka 1205",Ayesha Rahman,01711001101,,Online,Paid,bkash,,,BKA_OD2M4P6R8T0V2,,,2026-08-10T16:50:00.000Z,2026-08-15T16:45:41.187Z
62b19497d1f81349a1086968,DE932VWY7D,,"[{""product"":""9f996cc38e1b562674dac312"",""quantity"":1,""unitPrice"":4500,""variant"":{""sku"":""SWISSARA-50ML-KJMNQ4"",""attributes"":{""Size"":""50ml""}}}]",,4500,0,0,0,90,Inside Dhaka,4590,bdt,Pending,"House 2, Road 4, Khulna Sadar, Khulna 9100",Rahim Uddin,01712001200,Guest order.,COD,Pending,,,,,,,2026-08-11T08:05:00.000Z,2026-08-15T16:45:41.187Z
