_id,orderId,user,products,coupon,totalAmount,discount,offerDiscount,totalDiscount,deliveryCharge,deliveryOptionName,finalAmount,currency,status,shippingAddress,recipientName,phoneNo,notes,paymentMethod,paymentStatus,paymentProvider,stripeSessionId,sslSessionKey,transactionId,fxRate,fxBaseCurrency,createdAt,updatedAt
5f24094952395b936c17a55f,DEWLVWFYTX,d5fda4337214001f27f2b6ee,"[{""product"":""c104c86761f02bbbfe584fff"",""quantity"":1,""unitPrice"":6299,""variant"":{""sku"":""NIKEREVO-42-BLACK-FWW36P"",""attributes"":{""Size"":""42"",""Color"":""Black""}}}]",SAVE15,6299,945,700,1645,90,Inside Dhaka,4744,bdt,Completed,"House 12, Road 5, Dhanmondi, Dhaka 1205",Ayesha Rahman,01711001101,,Online,Paid,sslcommerz,,sslc_sh6f2a9c1e4b7d8a,SSLCZ_SH1F3K9Q2M4X7,,,2026-08-02T11:20:00.000Z,2026-08-15T16:45:41.293Z
895fe5f86773849e5a0b44d9,DEKEX3E42S,821a55413ef7d685b7a5fd5f,"[{""product"":""a71b4a20b542f975ac9d65f6"",""quantity"":1,""unitPrice"":18999,""variant"":{""sku"":""ADIDASUL-42-COREBL-73PLM5"",""attributes"":{""Size"":""42"",""Color"":""Core Black""}}},{""product"":""007cae206bd46d9b3dae1d25"",""quantity"":1,""unitPrice"":5999}]",EID20,24998,2000,0,2000,150,Outside Dhaka,23148,bdt,Shipped,"Flat 3B, Lake View Apartments, Gulshan 2, Dhaka 1212",Tanvir Hasan,01822002202,,Online,Paid,bkash,,,BKA_SH8H4M2N7Q9W3,,,2026-08-03T15:40:00.000Z,2026-08-15T16:45:41.293Z
6a8a047f0c99e4eb4ce01eac,DE9MVJS38A,a1eb2436da1d2674109acf80,"[{""product"":""19b0802c69d3307e400868dc"",""quantity"":1,""unitPrice"":15999,""variant"":{""sku"":""NIKEAIRM-41-BLACK-2SZX32"",""attributes"":{""Size"":""41"",""Color"":""Black""}}}]",,15999,0,0,0,90,Inside Dhaka,16089,bdt,Processing,"House 45, Road 11, Banani, Dhaka 1213",Nusrat Jahan,01633003303,,Online,Paid,sslcommerz,,sslc_sh9c3b1d5f7a2e8c,SSLCZ_SH7B2D4F6H8J0K,,,2026-08-04T09:10:00.000Z,2026-08-15T16:45:41.293Z
a31086a04fa8276449d5b4d1,DEHR6B4G3H,98cdc888a96718076bc935b8,"[{""product"":""bd08686d3909eb3e7922f194"",""quantity"":1,""unitPrice"":3999}]",FLAT500,3999,500,0,500,0,Store Pickup,3499,bdt,Completed,"House 7, Road 3, Uttara Sector 7, Dhaka 1230",Mashrafe Karim,01944004404,Store pickup.,COD,Paid,,,,,,,2026-08-05T13:00:00.000Z,2026-08-15T16:45:41.293Z
5354fa58be1c9f2d28e57f71,DERQT8Z3ZS,95faeb780ca3fe1fcc170b4d,"[{""product"":""c62fe2ae2f3f2a26ad7163c2"",""quantity"":2,""unitPrice"":9999,""variant"":{""sku"":""ADIDASSU-41-WHITE-3J2QSB"",""attributes"":{""Size"":""41"",""Color"":""White""}}}]",,19998,0,0,0,90,Inside Dhaka,20088,bdt,Pending,"House 23, Road 8, Mohammadpur, Dhaka 1207",Farhana Mim,01555005505,,COD,Pending,,,,,,,2026-08-06T17:25:00.000Z,2026-08-15T16:45:41.293Z
c4b01dc0f3a8f70dcdfab451,DEC8DEGWQU,408da74f2fd4100d31f67c28,"[{""product"":""4102fe7da77bd903e3e4b006"",""quantity"":1,""unitPrice"":10999,""variant"":{""sku"":""ADIDASSA-42-BLACKW-SSY78M"",""attributes"":{""Size"":""42"",""Color"":""Black/White""}}},{""product"":""9e66e7df58f1511913f59563"",""quantity"":1,""unitPrice"":3499}]",TECH5,14498,300,0,300,150,Outside Dhaka,14348,bdt,Cancelled,"House 89, Road 2, Khilgaon, Dhaka 1219",Shakil Ahmed,01366006606,Customer cancelled.,Online,Failed,sslcommerz,,sslc_sh1a2b3c4d5e6f7a,SSLCZ_SHC4E6G8I0K2M4,,,2026-08-07T10:45:00.000Z,2026-08-15T16:45:41.293Z
8e3e4317d99a566be0656c38,DEQSF8GYV7,1f662045a820b2c5124f8385,"[{""product"":""4dcb7231d8e1b9015a0b3adc"",""quantity"":1,""unitPrice"":12999,""variant"":{""sku"":""NIKEAIRF-41-WHITE-A7W3DK"",""attributes"":{""Size"":""41"",""Color"":""White""}}},{""product"":""a00ae7f1fe671c8ae14d75ef"",""quantity"":1,""unitPrice"":899}]",WELCOME10,13898,1000,0,1000,90,Inside Dhaka,12988,bdt,Processing,"House 15, Road 9, Mirpur DOHS, Dhaka 1216",Tasnim Chowdhury,01777007707,,Online,Paid,stripe,cs_test_sh_b8v7k3m9x2n4q6w8,,txn_stripe_sh_9f8e7d6c,0.0091,bdt,2026-08-08T12:30:00.000Z,2026-08-15T16:45:41.293Z
fd13e7a57c220a58f4615fe8,DE9AXTC5YR,64374044f38699c23ca58500,"[{""product"":""474d81e3635f4471ddca1d64"",""quantity"":1,""unitPrice"":4999,""variant"":{""sku"":""SOLEMATE-41-BROWN-KQGCVS"",""attributes"":{""Size"":""41"",""Color"":""Brown""}}}]",,4999,0,0,0,90,Inside Dhaka,5089,bdt,Completed,"House 34, Road 12, Rampura, Dhaka 1219",Imran Hossain,01888008808,,COD,Paid,,,,,,,2026-08-09T14:15:00.000Z,2026-08-15T16:45:41.293Z
52efa4a5685a983f532dc7db,DEPZG4A56T,d5fda4337214001f27f2b6ee,"[{""product"":""027eb90853c932d1ac7a20a0"",""quantity"":1,""unitPrice"":11999,""variant"":{""sku"":""PUMARSX-42-WHITE-7RVJFR"",""attributes"":{""Size"":""42"",""Color"":""White""}}},{""product"":""cc8342b26d797bce858dfe6e"",""quantity"":1,""unitPrice"":7999,""variant"":{""sku"":""NIKECOUR-41-WHITE-DTZGSC"",""attributes"":{""Size"":""41"",""Color"":""White""}}}]",,19998,0,0,0,150,Outside Dhaka,20148,bdt,Shipped,"House 12, Road 5, Dhanmondi, Dhaka 1205",Ayesha Rahman,01711001101,,Online,Paid,bkash,,,BKA_SH2M4P6R8T0V2,,,2026-08-10T16:50:00.000Z,2026-08-15T16:45:41.293Z
8edd590dcfe0fe136321048f,DERTQH9R4A,,"[{""product"":""125b35c2f7e3eab43964396d"",""quantity"":1,""unitPrice"":1999,""variant"":{""sku"":""BATACOMF-42-BLACK-D5NBED"",""attributes"":{""Size"":""42"",""Color"":""Black""}}}]",,1999,0,0,0,90,Inside Dhaka,2089,bdt,Pending,"House 2, Road 4, Khulna Sadar, Khulna 9100",Rahim Uddin,01712001200,Guest order.,COD,Pending,,,,,,,2026-08-11T08:05:00.000Z,2026-08-15T16:45:41.293Z
