_id,orderId,user,products,coupon,totalAmount,discount,offerDiscount,totalDiscount,deliveryCharge,deliveryOptionName,finalAmount,currency,status,shippingAddress,recipientName,phoneNo,notes,paymentMethod,paymentStatus,paymentProvider,stripeSessionId,sslSessionKey,transactionId,fxRate,fxBaseCurrency,createdAt,updatedAt
d237aa9e13229b1c828a1cdc,DET6F57KQB,37de6c7d9942805cd85ea6b3,"[{""product"":""c87ed4dc766c1307be45b466"",""quantity"":1,""unitPrice"":7199,""variant"":{""sku"":""CASIOGSH-BLACK-87NGD6"",""attributes"":{""Color"":""Black""}}}]",SAVE15,7199,1080,800,1880,90,Inside Dhaka,5409,bdt,Completed,"House 12, Road 5, Dhanmondi, Dhaka 1205",Ayesha Rahman,01711001101,,Online,Paid,sslcommerz,,sslc_wt6f2a9c1e4b7d8a,SSLCZ_WT1F3K9Q2M4X7,,,2026-08-02T11:20:00.000Z,2026-08-15T16:45:41.318Z
5228978bc697b0a3493750a5,DE3BX626JC,a24086da5a20c6230a2894e0,"[{""product"":""5eb43a5e01611dd96b19c777"",""quantity"":1,""unitPrice"":2499,""variant"":{""sku"":""CASIOVIN-SILVER-Z62HLG"",""attributes"":{""Color"":""Silver""}}},{""product"":""45e2d78a7bc2ba958f2726ee"",""quantity"":1,""unitPrice"":1499}]",EID20,3998,800,0,800,150,Outside Dhaka,3348,bdt,Shipped,"Flat 3B, Lake View Apartments, Gulshan 2, Dhaka 1212",Tanvir Hasan,01822002202,,Online,Paid,bkash,,,BKA_WT8H4M2N7Q9W3,,,2026-08-03T15:40:00.000Z,2026-08-15T16:45:41.318Z
76477268d022ba903144f834,DESCTVKLLN,7ecbcf789794c582e37da5b1,"[{""product"":""c00ea41c3b723b8c2ddb92d5"",""quantity"":1,""unitPrice"":8999,""variant"":{""sku"":""CASIOGSH-BLACK-3Z5WSA"",""attributes"":{""Color"":""Black""}}}]",,8999,0,0,0,90,Inside Dhaka,9089,bdt,Processing,"House 45, Road 11, Banani, Dhaka 1213",Nusrat Jahan,01633003303,,Online,Paid,sslcommerz,,sslc_wt9c3b1d5f7a2e8c,SSLCZ_WT7B2D4F6H8J0K,,,2026-08-04T09:10:00.000Z,2026-08-15T16:45:41.318Z
be2442f5614532c2e5757d0f,DEBEC2M6S9,33be39e792e50d6d4b6fac68,"[{""product"":""a8a3f2e4578ed6f184878a1d"",""quantity"":1,""unitPrice"":18999}]",FLAT500,18999,500,0,500,0,Store Pickup,18499,bdt,Completed,"House 7, Road 3, Uttara Sector 7, Dhaka 1230",Mashrafe Karim,01944004404,Store pickup.,COD,Paid,,,,,,,2026-08-05T13:00:00.000Z,2026-08-15T16:45:41.318Z
64e7fc7446be7b1dca6dbbb9,DE4QPZVH28,622644dd9b1617232620e492,"[{""product"":""c8a8650fbd75e5ac257c09f0"",""quantity"":2,""unitPrice"":34999,""variant"":{""sku"":""SEIKOPRE-ICEBLU-TM4KNS"",""attributes"":{""Dial"":""Ice Blue""}}}]",,69998,0,0,0,90,Inside Dhaka,70088,bdt,Pending,"House 23, Road 8, Mohammadpur, Dhaka 1207",Farhana Mim,01555005505,,COD,Pending,,,,,,,2026-08-06T17:25:00.000Z,2026-08-15T16:45:41.318Z
7616e30eb2c21aafe7b272b9,DEA78MR6XB,1a8cf9e1d32a67e5be0bbbc3,"[{""product"":""a784fa3b32ed960468082d1b"",""quantity"":1,""unitPrice"":12999,""variant"":{""sku"":""ATTORTIM-BLUE-AMN5JU"",""attributes"":{""Dial"":""Blue""}}},{""product"":""48def9fced08341d89f74c44"",""quantity"":1,""unitPrice"":5999}]",TECH5,18998,300,0,300,150,Outside Dhaka,18848,bdt,Cancelled,"House 89, Road 2, Khilgaon, Dhaka 1219",Shakil Ahmed,01366006606,Customer cancelled.,Online,Failed,sslcommerz,,sslc_wt1a2b3c4d5e6f7a,SSLCZ_WTC4E6G8I0K2M4,,,2026-08-07T10:45:00.000Z,2026-08-15T16:45:41.318Z
e6aa3d75e932ee611f0485d9,DEAR4R2XY2,05864c7f9bd2c42dd54cfe51,"[{""product"":""7ec0e9bddb18d5ad732a230b"",""quantity"":1,""unitPrice"":20999,""variant"":{""sku"":""SEIKOSOL-WHITE-WBS5EX"",""attributes"":{""Dial"":""White""}}},{""product"":""66f0837e561497b671851444"",""quantity"":1,""unitPrice"":5499,""variant"":{""sku"":""TITANBAN-SILVER-8YTPXU"",""attributes"":{""Case Color"":""Silver""}}}]",WELCOME10,26498,1000,2000,3000,90,Inside Dhaka,23588,bdt,Processing,"House 15, Road 9, Mirpur DOHS, Dhaka 1216",Tasnim Chowdhury,01777007707,,Online,Paid,stripe,cs_test_wt_b8v7k3m9x2n4q6w8,,txn_stripe_wt_9f8e7d6c,0.0091,bdt,2026-08-08T12:30:00.000Z,2026-08-15T16:45:41.318Z
5adce6a3f6c74080dec0aa0a,DEMLG6NV63,eb108071b31804c5fd570517,"[{""product"":""4568d0b3fec04b59653670bc"",""quantity"":1,""unitPrice"":19999,""variant"":{""sku"":""FOSSILHY-BROWN-7MNHYQ"",""attributes"":{""Strap"":""Brown""}}}]",,19999,0,0,0,90,Inside Dhaka,20089,bdt,Completed,"House 34, Road 12, Rampura, Dhaka 1219",Imran Hossain,01888008808,,COD,Paid,,,,,,,2026-08-09T14:15:00.000Z,2026-08-15T16:45:41.318Z
db34e362eae809ecc1795d29,DE48Q69UZA,37de6c7d9942805cd85ea6b3,"[{""product"":""42a15e49e75b67e1c5126bb2"",""quantity"":1,""unitPrice"":45999,""variant"":{""sku"":""SEIKOPRO-BLUE-3A52YQ"",""attributes"":{""Dial"":""Blue""}}},{""product"":""8142d5e2df1d2fbc8ce4fc65"",""quantity"":1,""unitPrice"":7499,""variant"":{""sku"":""TITANNEO-SILVER-JR2LCL"",""attributes"":{""Case Color"":""Silver""}}}]",,53498,0,0,0,150,Outside Dhaka,53648,bdt,Shipped,"House 12, Road 5, Dhanmondi, Dhaka 1205",Ayesha Rahman,01711001101,,Online,Paid,bkash,,,BKA_WT2M4P6R8T0V2,,,2026-08-10T16:50:00.000Z,2026-08-15T16:45:41.319Z
29c49a136d9eccadfb562571,DEXVQA4CAH,,"[{""product"":""b8e4a52abd460f958cfa7875"",""quantity"":1,""unitPrice"":27999,""variant"":{""sku"":""FOSSILGE-SILVER-BY9459"",""attributes"":{""Case Color"":""Silver""}}}]",,27999,0,0,0,90,Inside Dhaka,28089,bdt,Pending,"House 2, Road 4, Khulna Sadar, Khulna 9100",Rahim Uddin,01712001200,Guest order.,COD,Pending,,,,,,,2026-08-11T08:05:00.000Z,2026-08-15T16:45:41.319Z
